type,id,session,trial,delay,response,reward,totalvolume,flag,accuracy,normResponse,normAccuracy,lagResponse,lagNormAccuracy,lagReward,lagReward2,lagReward3,lagReward21,lagDelay,rewardRate,lagRewardRate,windowReward
5,41,2,66,10,5.3270735932656,1.4,47.3,0,0.327073593265595,0.872843644446837,-0.517174413598868,2.4954804721674,0.339624906399903,2.8,2.8,2.8,2.8,4,0.14,0.7,2.33333333333333
5,41,2,67,4,2.69964067803812,0.7,48,0,0.699640678038122,-0.911792372740551,0.782519085406456,5.3270735932656,-0.517174413598868,1.4,2.8,2.8,0,10,0.175,0.14,1.63333333333333
5,41,2,68,10,6.00393160508611,0.7,48.7,0,1.00393160508611,1.33258713757886,0.211730306044544,2.69964067803812,0.782519085406456,0.7,1.4,2.8,2.8,4,0.07,0.175,0.933333333333333
5,41,2,69,4,2.511212170617,0,48.75,0,0.511212170617,-1.0397790090728,0.373752407591912,6.00393160508611,0.211730306044544,0.7,0.7,1.4,2.8,10,0,0.07,0.466666666666667
5,41,2,70,10,6.23403166631033,0,48.8,0,1.23403166631033,1.48887841886633,0.459523813231466,2.511212170617,0.373752407591912,0,0.7,0.7,0.7,4,0,0,0.233333333333333
5,41,2,71,10,6.89458794385973,2.8,51.6,0,1.89458794385973,1.93754925550759,1.17087328370729,6.23403166631033,0.459523813231466,0,0,0.7,0.7,10,0.28,0,0.933333333333333
5,41,2,72,8,5.34623840868517,0,51.65,0,1.34623840868517,0.885860996730998,1.01163792382939,6.89458794385973,1.17087328370729,2.8,0,0,1.4,10,0,0.28,0.933333333333333
5,41,2,73,8,4.70034383950951,0,51.7,0,0.700343839509515,0.447148858820217,0.158703734022337,5.34623840868517,1.01163792382939,0,2.8,0,0,8,0,0,0.933333333333333
5,41,2,74,8,5.07872974672136,0,51.75,0,1.07872974672136,0.704160603817683,0.658380140365332,4.70034383950951,0.158703734022337,0,0,2.8,2.8,8,0,0,0
5,41,2,75,8,3.97035080661226,1.4,53.15,0,-0.0296491933877405,-0.0486856309031908,-0.805286436809533,5.07872974672136,0.658380140365332,0,0,0,0.7,8,0.175,0,0.466666666666667
5,41,2,76,10,6.95369807806492,0.7,53.85,0,1.95369807806492,1.9776987390099,1.23452866644411,3.97035080661226,-0.805286436809533,1.4,0,0,2.8,8,0.07,0.175,0.7
5,41,2,77,4,2.52429367166405,1.4,55.25,0,0.524293671664054,-1.03089363742653,0.402130712960967,6.95369807806492,1.23452866644411,0.7,1.4,0,2.8,10,0.35,0.07,1.16666666666667
5,41,2,78,8,4.4271406839016,0.7,55.95,0,0.427140683901598,0.261580584676507,-0.202073896417527,2.52429367166405,0.402130712960967,1.4,0.7,1.4,0,4,0.0875,0.35,0.933333333333333
5,41,2,79,8,5.80552219269157,0,56,0,1.80552219269157,1.19782115308649,1.61814378546404,4.4271406839016,-0.202073896417527,0.7,1.4,0.7,1.4,8,0,0.0875,0.7
5,41,2,80,6,3.86328113087438,0.7,56.7,0,0.863281130874384,-0.12141076065359,0.584217822956209,5.80552219269157,1.61814378546404,0,0.7,1.4,0,8,0.116666666666667,0,0.466666666666667
5,41,2,81,8,4.47119442443909,2.8,59.5,0,0.471194424439091,0.291503286641376,-0.143898857817539,3.86328113087438,0.584217822956209,0.7,0,0.7,0,6,0.35,0.116666666666667,1.16666666666667
