type,id,session,trial,delay,response,reward,totalvolume,flag,accuracy,normResponse,normAccuracy,lagResponse,lagReward,lagDelay,rewardRate,lagRewardRate,windowReward
1,9,2,106,8,4.34508840900162,2.3,69.76,0,0.345088409001619,0.602392515457409,0.358605791962278,6.54565386200193,0,10,0.2875,0,0.766666666666667
1,9,2,107,10,7.5558360929972,0.5,70.26,0,2.5558360929972,2.66471664121534,1.94735129984451,4.34508840900162,2.3,8,0.05,0.2875,0.933333333333333
1,9,2,108,8,5.87663146699924,2.3,72.56,0,1.87663146699924,1.58613166565278,1.6438920648517,7.5558360929972,0.5,10,0.2875,0.05,1.7
1,9,2,109,8,4.50986178400126,2.3,74.86,0,0.509861784001259,0.708229578967001,0.49688525849036,5.87663146699924,2.3,8,0.2875,0.2875,1.7
1,9,2,111,6,2.24200642100186,0,74.88,0,-0.757993578998139,-0.748456928090712,-0.808568436395103,NaN,0,4,0,0,0.766666666666667
1,9,2,112,8,4.28389525799867,0,74.89,0,0.283895257998665,0.563086994106852,0.307251886782638,2.24200642100186,0,6,0,0,0
1,9,2,113,6,4.76222062099987,2.3,77.19,0,1.76222062099987,0.870324445681281,1.61735960310365,4.28389525799867,0,8,0.383333333333333,0,0.766666666666667
1,9,2,114,10,7.77940503599893,0.5,77.69,0,2.77940503599893,2.80831921304649,2.10207778111181,4.76222062099987,2.3,6,0.05,0.383333333333333,0.933333333333333
1,9,2,115,8,6.35136024899839,2.3,79.99,0,2.35136024899839,1.89105896504435,2.0422892131805,7.77940503599893,0.5,10,0.2875,0.05,1.7
1,9,2,116,10,4.44836595000015,0,80,0,-0.551634049999848,0.668729638586677,-0.203251169414266,6.35136024899839,2.3,8,0,0.2875,0.933333333333333
1,9,2,117,8,5.16487736900308,1.2,81.2,0,1.16487736900308,1.12895851086975,1.04658089749654,4.44836595000015,0,10,0.15,0,1.16666666666667
1,9,2,118,4,1.99372756600133,0,81.21,0,-0.00627243399867439,-0.907931144995221,0.322408972448426,5.16487736900308,1.2,8,0,0.15,0.4
1,9,2,119,8,5.67019504600103,0.5,81.71,0,1.67019504600103,1.45353363760408,1.47064855286039,1.99372756600133,0,4,0.0625,0,0.566666666666667
1,9,2,120,4,1.58453542999996,1.2,82.91,0,-0.41546457000004,-1.17076301383141,-0.302253787314686,5.67019504600103,0.5,8,0.3,0.0625,0.566666666666667
1,9,2,121,6,3.02007846899869,2.3,85.21,0,0.0200784689986904,-0.248686496374674,-0.0596055910991671,1.58453542999996,1.2,4,0.383333333333333,0.3,1.33333333333333
1,9,2,123,8,3.79024394999942,0,85.72,0,-0.209756050000578,0.246005397420353,-0.107025234877185,5.8139423270004,0.5,6,0,0.0833333333333333,0.933333333333333
1,9,2,124,4,2.32575521700346,0,85.73,0,0.325755217003461,-0.694663488214321,0.829274306712733,3.79024394999942,0,8,0,0,0.166666666666667
1,9,2,125,4,2.49565855699984,0.5,86.23,0,0.495658556999842,-0.585531350903131,1.08864461204713,2.32575521700346,0,4,0.125,0,0.166666666666667
1,9,2,126,10,5.44299467900055,1.2,87.43,0,0.442994679000549,1.30759853327254,0.485106530628167,2.49565855699984,0.5,4,0.12,0.125,0.566666666666667
1,9,2,127,8,3.11107741299929,0.5,87.93,0,-0.888922587000707,-0.190236148947374,-0.676988594675501,5.44299467900055,1.2,10,0.0625,0.12,0.733333333333333
1,9,2,128,4,3.10073600499891,0.5,88.43,0,1.10073600499891,-0.196878631419545,2.01234112349782,3.11107741299929,0.5,8,0.125,0.0625,0.733333333333333
