type,id,D1S1,D1S2,D1S3,D2S1,D2S2,D2S3,D3S1,D3S2,D3S3,D4S1,D4S2,D4S3
3,2,2.05848245587504,2.20569447383317,2.08335570312556,2.84216330730051,3.16140033676922,3.01668505599991,3.52684321300047,4.09297934874985,3.90592128277745,4.25857709199995,4.87194054917522,4.97259542109969
3,3,2.50622854855566,2.76918719111109,2.28850737733289,3.79868624442848,4.28211106500002,4.29420711277736,4.12058392355559,5.7477719376842,4.1568979712998,5.57484061887499,6.09450696718424,4.98853730829997
3,4,2.64496243488914,2.5197630541841,2.28919464359988,3.4107849276665,3.2303315856388,3.18649525929977,4.05828451488903,4.04870502408114,4.01018556655557,5.46408495366692,4.99206349560513,5.17050348289977
3,5,2.40035152622229,1.84557961235895,1.73863303079997,3.64342891577775,3.15924059967499,3.16129632269985,4.65513176720006,3.94997477286839,3.67866515040023,5.71206270969997,4.92088415484615,4.58053614410001
3,6,2.18646551019992,2.2660496731053,2.10886189933343,3.23738397579998,3.17292896463896,2.75245590877785,3.8354746144,4.21037817976923,3.35968420188884,4.15965017500002,4.67145533789998,4.88727354877796
3,7,2.33140433544456,2.48262526424323,2.24676804937496,3.54002663850006,3.74779154618918,3.61207861879993,4.53857781533346,4.84543435586841,4.64342304322225,5.16753019550006,5.16018673633339,4.86809069320016
3,8,1.41627745055505,1.95636454783793,2.04422413629982,2.18718011966767,2.77523234702609,2.72775067969997,3.36077597300118,3.58645343248701,3.25001666620046,4.06005511185711,4.20095913837522,4.38758521070049
3,9,1.9261971538888,2.48416866964994,2.3652032136999,2.88126865929989,3.19435720107877,2.96111934910023,3.58343985362512,4.37385621655281,4.13862697488892,4.60368805177758,5.30757172048727,5.10479796049985
3,10,1.78388891199938,2.43263662272743,1.99019834380015,2.09210291570052,3.35310437236375,2.56407339277818,2.82688530759988,3.42210057090015,2.86455603870054,3.59557285150004,4.33848113047497,2.62934640179956
3,11,1.57794100280025,1.65153875958317,1.74150631460016,2.40817747290002,2.62182281613506,2.68337492380015,3.40877923430016,3.27384379260538,3.51712970479984,4.31355607680052,3.95792697702701,4.3242839464001
3,12,2.50289667119978,2.57903411333347,2.41923101280045,3.04828743719954,3.52097320136866,3.52053167170052,3.80590767999965,4.32881628905129,4.34882675429981,4.45299576789912,5.26288629869996,4.86362043710033
3,13,0.671596975900025,1.84941972771055,1.95904862780008,1.37247250319997,2.50661070684625,2.69018782822241,1.83397537520004,3.05249062707696,4.09142895320001,2.0763068084,3.24795137839998,3.94029895839976
3,14,2.69828700590006,2.50430538742871,2.22438913020032,4.00523966388836,3.9689891953244,3.82585902329974,5.23035407777772,5.15764033184613,5.00012827559985,6.96952326230003,6.84420006368414,6.14648392479958
3,15,2.08477769679994,2.01998626862883,1.97218723100054,3.13459576139994,3.08197268223696,3.27513681177718,4.02408039833305,4.04213794674988,4.20846731700003,5.31325083969987,5.09989010871803,5.33052515679992
3,16,1.96248422155501,1.4026755347777,1.67670889969995,2.80431733010009,2.27350550359443,2.66257300039943,3.70598559340069,3.29012590502709,3.60275400309984,4.52117106410114,4.14671091957912,4.43635896579981
3,17,1.678216679,1.80753790084206,1.65030158200025,2.38444046955561,2.41119873358965,2.08214871055538,3.16989457799998,3.13812862499998,2.81297705809993,4.15442413222223,3.99417633417503,3.71431273000007
3,18,1.81011301110029,1.75368106582496,1.72617576155507,2.8085430684001,2.70498833915367,2.76442475029999,3.4222726322221,3.65414448730025,3.84607071488871,4.48340406444448,5.04201602432481,4.75850175549949
3,19,2.10432525388887,2.0132069111351,1.73850037811119,2.79597554549998,2.86049610359457,2.89810902309991,3.39400183890002,3.92771782436847,3.64441172709994,4.50076658855558,4.7871554812895,4.16312737900016
3,20,1.34632905470003,1.78923215781081,1.6513091797,2.7552882485715,2.74278698435005,2.58055382070006,3.11612108971427,3.85658023344996,3.47448290509992,3.56821043360005,4.75368480809998,4.79258002250008
3,21,2.9627561898889,2.74211312754052,3.21641931688888,3.52048557850003,3.32513928907684,3.62341018610005,4.56329740599997,4.06453272751282,4.18731861830011,5.61628744422223,4.779547920625,5.01153070110004
3,22,2.49266250911145,2.85268845002714,2.74184944269982,3.53882407919955,4.51558563329977,4.21873246433339,4.18450151899979,5.88417239427486,5.87511879900048,5.34328360439977,7.35197891245025,7.09586648580043
3,23,1.59344589660004,2.25328786947363,2.32587676380017,2.34038228639993,2.63125550913509,3.01148625229998,3.01522162710007,2.95286943948727,3.36463146099986,3.3502091415556,3.83124924364107,4.40573364388901
3,24,2.22249395711111,1.89322958227777,2.47780259633348,3.27462708949993,3.10603945632423,3.13467943889982,3.86448262177772,3.70776399459467,3.4059805709001,4.94170401900001,4.72581097168573,4.53747600580009
3,25,1.86501673477777,2.23435731633333,2.33976661730003,2.3480194264,3.5294014245641,3.65048469588884,3.02391052739998,4.30527512357897,3.9863171426,3.7894167827,4.83625114874997,4.86975901655559
