id,cond,k,s,k2,s2,weber1,weber2,weberR,stevens1,stevens2,stevensR,meanReproduction,stdReproduction,cvReproduction,meanDiff,stdDiff,cvDiff,meanAbsDiff,stdAbsDiff,cvAbsDiff,meanRelReproduction,stdRelReproduction,cvRelReproduction,meanSR,stdSR,cvSR,meanRelDiff,stdRelDiff,cvRelDiff,meanAbsError,stdAbsError,cvAbsError,weberVar,weberVarR,stevensVar,stevensVarR
49,1,0.05172012,0.08942561,0.06855793,0.03350283,4.438329,-2.161659,0.7544987,1.019255,0.8776003,0.7942994,5.3835,3.55022,0.6594631,-1.456403,2.10519,-1.445472,1.732839,1.876114,1.082682,0.8226531,0.2420358,0.2942137,1.321673,0.3978277,0.3010031,-0.1773469,0.2420358,-1.364759,0.2566272,1.876114,7.310659,1.089108,0.4486586,1.720506,0.7428071
50,2,0.09934042,0.05374878,0.09952606,0.04949908,3.8575,-1.240117,0.7168167,1.393343,0.721625,0.7137592,5.317633,3.165679,0.5953173,-1.522269,2.553303,-1.677301,1.888872,2.28598,1.210235,0.8511319,0.2630835,0.3090985,1.298328,0.4594055,0.3538439,-0.1488681,0.2630835,-1.767226,0.2507766,2.28598,9.1156,1.264184,0.8404169,0.9256721,0.8986829
51,4,0.1147521,0.08052758,NaN,NaN,5.853314,-4.174234,0.8110839,0.5438646,1.199265,0.9316365,5.7764,4.515792,0.7817659,-1.063503,1.246369,-1.171947,1.126187,1.188041,1.054923,0.8058894,0.1859881,0.2307862,4.610143,18.55721,4.025301,-0.1941105,0.1859881,-0.9581558,0.1983233,1.188041,5.990427,0.5798571,0.2520536,0.4851453,0.1983601
52,3,0.1143267,0.2045984,0.22008,1.058934,5.3611,-4.016637,0.6982496,0.4782235,1.20427,0.7815769,5.097233,4.457728,0.8745387,-1.742669,2.174596,-1.247853,2.248149,1.625432,0.7230093,0.6886033,0.2402523,0.348898,1.603852,0.4784503,0.2983133,-0.3113967,0.2402523,-0.7715313,0.3559386,1.625432,4.56661,1.947019,0.8259447,1.205761,0.9006009
53,2,0.0982291,0.03678741,0.1060989,0.08397958,4.210472,-3.002901,0.8083141,0.500905,1.093095,0.8653525,4.1549,3.253911,0.7831503,-2.685003,1.899006,-0.7072639,2.685003,1.899006,0.7072639,0.5701184,0.148595,0.2606389,1.864059,0.456039,0.2446484,-0.4298816,0.148595,-0.345665,0.4298816,1.899006,4.417509,1.100292,0.918118,1.164532,0.9797943
54,4,0.113498,0.04644916,0.1170792,0.01895806,2.349072,1.053012,0.5940436,2.276685,0.443268,0.5657102,5.046433,2.11764,0.419631,-1.793469,3.340281,-1.862469,2.52179,2.811798,1.115001,0.91518,0.3905856,0.4267856,1.319433,0.6195608,0.4695658,-0.08482006,0.3905856,-4.604873,0.3365371,2.811798,8.355091,0.5765694,0.7973433,0.4455695,0.8200282
55,2,0.09121737,0.2551955,0.08528686,0.2936962,2.342686,0.859901,0.4027507,2.179751,0.4452658,0.3705973,4.842467,2.564844,0.5296564,-1.997436,3.703701,-1.854227,2.773269,3.144598,1.133896,0.8594808,0.5260757,0.6120855,1.526297,0.9596996,0.6287764,-0.1405192,0.5260757,-3.743799,0.3627424,3.144598,8.668956,0.6094161,0.1884832,0.3065244,0.176719
56,4,0.03047478,0.04707445,0.03029058,0.0497012,6.312614,-4.132611,0.8924903,0.8465291,1.061032,0.9756449,6.598834,4.64272,0.7035668,-0.2410694,0.7326854,-3.039313,0.576936,0.5026066,0.8711653,0.9429691,0.1131923,0.1200382,1.07666,0.1410528,0.1310096,-0.05703093,0.1131923,-1.984754,0.09815563,0.5026066,5.120508,0.4625858,0.5118048,0.8874042,0.6105757
57,2,0.04954346,0.04601556,0.0318156,0.04752933,4.068986,-0.2478424,0.5455803,2.249532,0.5943144,0.5314046,6.669433,3.827559,0.5738956,-0.1704694,3.225445,-18.92096,1.849397,2.6259,1.419868,1.128374,0.3993107,0.3538815,3.937067,16.49952,4.190814,0.128374,0.3993107,3.110526,0.3025561,2.6259,8.679051,2.007164,0.5632318,1.619034,0.7961987
59,2,0.1155705,0.04386719,0.1159357,0.04309259,4.524071,-2.974288,0.7195932,0.544892,1.105913,0.8022053,4.716633,3.705535,0.7856314,-2.123269,2.045389,-0.9633206,2.214041,1.943279,0.8777068,0.6704811,0.2000772,0.2984084,1.621656,0.4788451,0.2952815,-0.3295189,0.2000772,-0.6071799,0.3466724,1.943279,5.605521,1.316788,0.767949,1.23033,0.9038033
