id,trial,llTop,delay,ssA,llA,llRight,response,rt
3,28,0,4,20.6,26.2,0,-1,-1
3,29,0,1,23.4,24,0,0,1193
3,30,1,2,23.1,29.1,1,-1,-1
3,31,0,4,27.5,36.1,1,0,1338
4,1,0,12,27.9,58.2,1,-1,-1
4,2,1,12,20.7,43.2,0,-1,-1
4,3,0,1,29.4,30.7,0,-1,-1
4,4,0,9,25.1,27.5,1,-1,-1
4,5,1,6,29.3,29.8,1,-1,-1
4,6,1,12,21.7,32.5,1,-1,-1
4,7,0,9,23.2,32,1,-1,-1
4,8,1,9,20.7,38.6,0,-1,-1
4,9,1,4,29.6,34.8,1,-1,-1
4,10,0,6,24.8,40.9,0,-1,-1
4,11,0,6,21,21.4,1,-1,-1
4,12,1,4,23.8,28,0,-1,-1
4,13,0,12,28.2,42.3,0,1,1139
4,14,1,4,20.7,23.4,0,-1,-1
4,15,0,4,24.5,23,0,-1,-1
4,16,1,12,27.9,51.4,0,-1,-1
4,17,0,2,27.9,29.7,0,-1,-1
4,18,1,12,23.3,25.7,0,-1,-1
4,19,1,12,29.6,40.8,1,-1,-1
4,20,0,2,26.4,23.6,0,-1,-1
4,21,0,9,20.9,21.8,1,-1,-1
4,22,1,6,20.4,20,1,-1,-1
4,23,0,4,27.4,31,0,0,1193
4,24,0,2,20.3,21.9,1,0,940
4,25,0,12,27.5,40.8,0,-1,-1
4,26,0,1,25.4,26.5,1,0,1753
4,27,1,4,26.2,23.4,1,0,1483
4,28,1,12,23.8,27.3,0,-1,-1
4,29,1,1,27.3,23.4,1,-1,-1
4,30,1,6,25.4,32.1,1,-1,-1
4,31,1,2,28,39.7,0,-1,-1
4,32,0,12,29.2,33.5,0,0,976
4,33,0,12,29.1,44.5,0,-1,-1
4,34,1,9,26.3,36.8,1,-1,-1
4,35,0,9,24.3,44.2,0,-1,-1
4,36,0,4,29.2,28.9,1,-1,-1
4,37,1,6,29.1,37,1,-1,-1
4,38,1,6,26.6,33.8,0,-1,-1
4,39,1,6,25.4,26.7,0,-1,-1
4,40,0,12,29.7,45.4,0,-1,-1
4,41,1,9,24.9,34.9,1,-1,-1
4,42,0,12,23.2,28.4,0,0,1049
4,43,0,6,21,26.9,1,-1,-1
4,44,0,1,26.3,31.7,1,-1,-1
4,45,0,2,28.9,36.7,1,-1,-1
4,46,1,1,20.6,21.6,1,0,1212
4,47,0,1,25.7,23.7,1,0,1157
4,48,1,2,22.9,25.3,1,-1,-1
4,49,0,9,29.9,43.7,0,-1,-1
4,50,0,6,25.2,38.2,1,-1,-1
4,51,1,1,23.7,25,1,-1,-1
4,52,0,2,29.2,32.3,0,-1,-1
4,53,1,4,26.3,36.3,0,-1,-1
4,54,0,4,20.3,24.6,1,-1,-1
4,55,0,1,21.5,20.4,0,-1,-1
4,56,0,2,20.1,25.1,1,0,1230
4,57,1,4,22.9,21.7,0,0,1140
4,58,0,2,20.7,18.9,1,0,904
4,59,0,4,26.7,33.3,1,-1,-1
4,60,1,2,20.4,19.3,1,-1,-1
4,61,0,9,24.2,29.7,0,0,1157
4,62,0,2,25.8,34.7,1,-1,-1
4,63,1,9,21,33.1,0,-1,-1
4,64,0,2,28.2,32,1,0,688
4,65,1,4,27.2,35.5,1,-1,-1
4,66,1,2,24.5,28.3,0,0,1319
4,67,0,1,27.8,26.9,1,-1,-1
4,68,1,6,27.8,51.3,0,-1,-1
4,69,1,6,24.2,36.8,1,1,1826
4,70,0,6,21.8,39.4,1,0,1791
4,71,1,6,22,31.7,1,0,1103
4,72,0,1,28.1,30.4,1,-1,-1
4,73,0,2,26.5,42.5,1,-1,-1
4,74,1,2,23.1,26.9,1,-1,-1
4,75,0,6,25.4,37.7,1,-1,-1
4,76,0,12,27.1,52.7,1,-1,-1
4,77,1,6,25.4,28,0,-1,-1
4,78,1,1,25.1,36.4,1,-1,-1
4,79,0,6,29.6,43.9,0,-1,-1
4,80,0,9,20.6,35.4,0,-1,-1
4,1,0,6,21.5,27,1,-1,-1
4,2,0,1,23.9,25,0,-1,-1
4,3,1,1,26.2,34.1,1,-1,-1
4,4,0,1,22.1,19.3,1,-1,-1
4,5,1,6,24.5,30.8,0,-1,-1
4,6,0,12,23.5,49.1,0,-1,-1
4,7,1,1,20.3,21.2,1,-1,-1
4,8,0,1,24.6,25.7,1,-1,-1
4,9,0,6,29.6,37.2,0,0,1013
4,10,0,4,28.3,45.6,1,-1,-1
4,11,0,9,29,43.2,1,-1,-1
4,12,1,12,21.2,34.9,0,-1,-1
4,13,0,4,29.1,28.7,1,0,1175
4,14,1,4,21.9,27,0,-1,-1
4,15,0,12,26,35.1,1,-1,-1
4,16,0,1,27.8,29.4,0,-1,-1
4,17,0,1,20.8,26,0,-1,-1
4,18,1,12,23.5,51.6,0,-1,-1
4,19,0,2,24.3,23.4,0,-1,-1
4,20,1,9,25.9,39.1,0,-1,-1
4,21,1,12,22.7,38,0,-1,-1
4,22,0,2,22.3,29.7,1,-1,-1
4,23,1,1,25.1,26.6,0,0,905
4,24,1,12,22.9,32.4,1,-1,-1
4,25,0,4,23.4,35.9,1,-1,-1
4,26,1,1,24,25.6,1,-1,-1
4,27,0,12,27.1,38.3,1,-1,-1
4,28,1,4,21.5,23.1,1,0,815
4,29,1,4,27.6,35.2,1,-1,-1
4,30,0,4,25.9,33.1,1,-1,-1
4,31,0,9,24.3,39.1,1,-1,-1
4,32,0,12,23.4,42.2,0,-1,-1
4,33,1,2,27.4,31.2,0,0,905
4,34,1,4,23.1,27.3,1,0,796
4,35,0,1,29.8,32.3,0,0,1086
4,36,0,6,29.5,45.7,0,0,1447
4,37,1,2,29.9,38.1,0,-1,-1
4,38,0,12,29.2,72,1,-1,-1
4,39,1,12,25.5,56.8,0,-1,-1
4,40,1,12,20.4,50.3,1,-1,-1
4,41,0,6,29.9,52,0,-1,-1
4,42,1,2,29.6,37.7,0,-1,-1
4,43,1,1,23.3,24.5,1,-1,-1
4,44,0,1,25.4,26.8,1,-1,-1
4,45,1,9,26.1,50.2,1,-1,-1
4,46,0,1,29.6,34.3,0,-1,-1
4,47,1,6,27.3,44.2,0,-1,-1
4,48,1,4,25.6,36.2,0,0,1627
5,1,0,2,23.1,20.9,1,-1,-1
5,2,1,6,28.4,35.7,1,0,1120
5,3,0,1,23.3,31.1,0,-1,-1
5,4,1,6,23.7,25,1,0,1175
5,5,1,1,28.9,30.6,0,-1,-1
5,6,1,9,27.9,42.2,0,-1,-1
5,7,0,1,27.5,29.1,0,-1,-1
5,8,1,12,23.5,39.4,1,-1,-1
5,9,1,6,26.2,43.6,1,-1,-1
5,10,1,1,21.8,23.1,1,-1,-1
5,11,0,6,22.3,30,1,-1,-1
5,12,1,12,25.8,56.8,1,-1,-1
5,13,0,6,22.4,37.3,1,-1,-1
5,14,1,1,21.6,22.9,1,0,1519
5,15,1,4,22.9,29,0,-1,-1
5,16,0,2,29.9,40.3,1,-1,-1
5,17,0,12,29.1,51.4,1,0,1519
5,18,1,2,22.1,22.6,1,0,1284
5,19,1,4,26.7,35.3,0,-1,-1
5,20,0,12,29,49.3,0,0,1464
5,21,0,6,21.9,35.5,1,-1,-1
5,22,1,2,29.4,34.4,0,0,1319
5,23,0,4,25.4,35.1,1,0,778
5,1,1,6,26.6,43.8,1,-1,-1
5,2,0,12,23,34.5,1,-1,-1
5,3,1,6,22,36.3,1,-1,-1
5,4,0,4,27.2,31.9,1,-1,-1
5,5,1,6,26.3,43.3,0,-1,-1
5,6,1,1,23.3,30.3,1,-1,-1
5,7,0,2,20.2,18.3,0,0,1103
5,8,0,6,23.9,25.7,1,0,778
5,9,0,2,27,33,1,-1,-1
5,10,1,9,27.8,44.9,1,0,814
5,11,1,2,27,30.8,1,-1,-1
5,12,1,12,27.1,37.5,1,-1,-1
5,13,1,4,26.7,43.2,1,-1,-1
5,14,0,1,26.7,28.6,0,1,1139
5,15,0,1,26.7,28.3,0,-1,-1
